data_seed,model_seed,model,rmse,mae,r2,training_seconds,full_graph_inference_ms,best_epoch,best_val_rmse
2026,0,Linear regression,0.04409169216080205,0.03224688395857811,0.8940758109092712,0.0025373890002811095,0.4086999997525709,,
2026,0,Random forest,0.05234111078176427,0.03459436949573521,0.8507317268556441,0.499316715000532,59.86655000015162,,
2026,0,Gradient boosting,0.049646711223067394,0.033734269489509486,0.8657041452478407,0.3541503999995257,5.06542899984197,,
2026,0,MLP,0.04514460958523715,0.03342696279287338,0.8889564275741577,0.5324427169998671,0.4582760002449504,,
2026,1,Linear regression,0.04409169216080205,0.03224688395857811,0.8940758109092712,0.0013450129999910132,0.282713999695261,,
2026,1,Random forest,0.05374525661971643,0.035173972592377416,0.8426155138898859,0.4312703640007385,56.29654899985326,,
2026,1,Gradient boosting,0.049646711223067394,0.033734269489509486,0.8657041452478407,0.3665071089999401,4.653517000406282,,
2026,1,MLP,0.0490259098668179,0.034671906381845474,0.8690417408943176,0.41556758000024274,0.6990700003370875,,
2026,2,Linear regression,0.04409169216080205,0.03224688395857811,0.8940758109092712,0.0016866549995029345,0.4054430000905995,,
2026,2,Random forest,0.05363840157138472,0.035211532816773285,0.8432407080008016,0.4547643949999838,57.65488900033233,,
2026,2,Gradient boosting,0.049646711223067394,0.033734269489509486,0.8657041452478407,0.32262955799978954,3.980956999839691,,
2026,2,MLP,0.047394899256029015,0.03331345319747925,0.8776103258132935,0.16812051299984887,0.5798989996037562,,
2026,3,Linear regression,0.04409169216080205,0.03224688395857811,0.8940758109092712,0.0015073039994604187,0.36656000065704575,,
2026,3,Random forest,0.05328604862460807,0.03522724076339033,0.8452934604185314,0.4254823100000067,64.10718400002224,,
2026,3,Gradient boosting,0.049646711223067394,0.033734269489509486,0.8657041452478407,0.371644144000129,4.784337000273808,,
2026,3,MLP,0.045990582559134026,0.032324861735105515,0.8847557306289673,0.3233684890001314,0.5600549993687309,,
2026,4,Linear regression,0.04409169216080205,0.03224688395857811,0.8940758109092712,0.0016307269997923868,0.37629999951604987,,
2026,4,Random forest,0.05330458871215946,0.03490981281946675,0.8451857860141018,0.5064303660001315,73.88714799981244,,
2026,4,Gradient boosting,0.049646711223067394,0.033734269489509486,0.8657041452478407,0.34289959800025827,4.3493180000950815,,
2026,4,MLP,0.048183561815236566,0.03401733934879303,0.8735032081604004,0.7540187179993154,0.6142660004115896,,
2026,0,GCN,0.08738117654315204,0.05921191722154617,0.5839769244194031,2.3859019430001354,13.821923000250536,206,0.07329709082841873
2026,1,GCN,0.08469293516654675,0.057677701115608215,0.6091806888580322,3.3424394290004784,1.185133000035421,228,0.07285673916339874
2026,2,GCN,0.08601091240317323,0.05803345516324043,0.5969223380088806,1.4063202180004737,1.2005139997199876,223,0.07296009361743927
2026,3,GCN,0.08601076351861746,0.05833382532000542,0.5969237089157104,1.7972406670005512,1.9655229998534196,247,0.07357734441757202
