data_seed,model_seed,node_index,top_k,fidelity_plus,fidelity_minus,characterization,sparsity,random_edge_delta_mean,causal_edge_precision,causal_edge_recall,random_causal_edge_precision,random_causal_edge_recall
2026,0,1,2,0.00020171701908111572,0.009049728512763977,0.0004033519321759472,0.7142857142857143,0.008886843919754028,1.0,0.5,0.525,0.2625
2026,0,1,4,0.12268497049808502,0.004768818616867065,0.2184419787142273,0.4285714285714286,0.0407582588493824,0.75,0.75,0.55,0.55
2026,0,1,6,0.12268497049808502,0.0,0.21855636037178833,0.1428571428571429,0.089200197160244,0.6666666666666666,1.0,0.575,0.8625
2026,0,1,8,0.12268497049808502,0.0,0.21855636037178833,0.0,0.12268497049808502,0.5714285714285714,1.0,0.5714285714285714,1.0
2026,0,6,2,0.001784995198249817,0.021423667669296265,0.0035634903280691377,0.5,0.026315022259950638,1.0,0.5,1.0,0.5
2026,0,6,4,0.13840454816818237,0.0,0.24315529728142854,0.0,0.13840454816818237,1.0,1.0,1.0,1.0
2026,0,6,6,0.13840454816818237,0.0,0.24315529728142854,0.0,0.13840454816818237,1.0,1.0,1.0,1.0
2026,0,6,8,0.13840454816818237,0.0,0.24315529728142854,0.0,0.13840454816818237,1.0,1.0,1.0,1.0
2026,0,9,2,0.06534236669540405,0.024151071906089783,0.1224833108343112,0.7142857142857143,0.0251899853348732,1.0,0.5,0.625,0.3125
2026,0,9,4,0.0877666175365448,0.0037104785442352295,0.16132183240354434,0.4285714285714286,0.056128669530153275,0.75,0.75,0.5625,0.5625
2026,0,9,6,0.0877666175365448,0.0,0.16137030889090725,0.1428571428571429,0.07657495960593223,0.6666666666666666,1.0,0.5583333333333333,0.8375
2026,0,9,8,0.0877666175365448,0.0,0.16137030889090725,0.0,0.0877666175365448,0.5714285714285714,1.0,0.5714285714285714,1.0
2026,0,29,2,0.057302579283714294,0.018793076276779175,0.10828150802199023,0.7142857142857143,0.024179082363843918,1.0,0.5,0.575,0.2875
2026,0,29,4,0.023562997579574585,0.014321327209472656,0.04602573370297796,0.4285714285714286,0.018463535606861113,0.75,0.75,0.6,0.6
2026,0,29,6,0.023562997579574585,0.0,0.0460411281675757,0.1428571428571429,0.024626296758651734,0.6666666666666666,1.0,0.575,0.8625
2026,0,29,8,0.023562997579574585,0.0,0.0460411281675757,0.0,0.023562997579574585,0.5714285714285714,1.0,0.5714285714285714,1.0
